id,location,total_energy,floor
1,Columbia,831433,1
2,Columbia,765493,1
3,Columbia,558488,1
4,Columbia,0,2
5,Columbia,221900,2
6,Columbia,1725998,2
7,Columbia,2821119,3
8,Columbia,3101519,3
9,Columbia,1776831,3
10,Cambodia,994335,1
11,Cambodia,274,1
12,Cambodia,275,1
13,Cambodia,265749,2
14,Cambodia,954694,2
15,Cambodia,575736,2
16,Cambodia,1038166,3
17,Cambodia,1462619,3
18,Cambodia,1915052,3
19,Mauritania,0,1
20,Mauritania,514103,1
21,Mauritania,2215172,1
22,Mauritania,1059189,2
23,Mauritania,283022,2
24,Mauritania,2865353,2
25,Mauritania,15065682,3
26,Mauritania,20215531,3
27,Mauritania,15015952,3
28,Niger,2820455,1
29,Niger,2640043,1
30,Niger,2719748,1
31,Niger,1183560,2
32,Niger,3879501,2
33,Niger,563338,2
34,Niger,2831517,3
35,Niger,4719665,3
36,Niger,2930213,3